work_id,total_paid,payment_count,first_payment_date,last_payment_date
WS/MP18111/2025-2026/194805,977091,1,2025-12-04,2025-12-04
WS/MP18111/2025-2026/194806,972138,1,2025-12-30,2025-12-30
WS/MP18111/2025-2026/269009,500000,1,2026-04-03,2026-04-03
WS/MP18111/2026-2027/187121,1000000,1,2026-06-15,2026-06-15
WS/MP18111/2026-2027/187511,990840,1,2026-04-29,2026-04-29
WS/MP18111/2026-2027/188362,586926,1,2026-04-07,2026-04-07
WS/MP18111/2026-2027/188367,1000000,1,2026-07-27,2026-07-27
WS/MP18111/2026-2027/194807,990124,1,2026-06-24,2026-06-24
WS/MP18111/2026-2027/224225,520557,1,2026-05-21,2026-05-21
WS/MP18111/2026-2027/268993,982424,1,2026-08-27,2026-08-27
WS/MP18111/2026-2027/269012,970928,1,2026-09-07,2026-09-07
WS/MP18111/2026-2027/269014,294791,2,2026-06-18,2026-06-23
WS/MP18111/2026-2027/269017,987461,2,2026-05-27,2026-06-18
WS/MP18111/2026-2027/269023,987685,2,2026-05-27,2026-06-18
WS/MP18111/2026-2027/269033,983250,1,2026-09-03,2026-09-03
WS/MP18111/2026-2027/269037,984839,1,2026-08-17,2026-08-17
WS/MP18111/2026-2027/273202,972077,1,2026-08-24,2026-08-24
WS/MP18111/2026-2027/273222,986945,1,2026-08-19,2026-08-19
WS/MP18111/2026-2027/276689,972751,1,2026-08-10,2026-08-10
WS/MP18111/2026-2027/276690,976283,1,2026-09-03,2026-09-03
WS/MP18112/2024-2025/136520,1998642,2,2025-07-02,2025-09-02
WS/MP18112/2024-2025/136522,1497556,3,2025-05-30,2026-05-27
WS/MP18112/2024-2025/136532,1499996,2,2025-10-01,2025-12-15
WS/MP18112/2024-2025/136716,994082,1,2025-10-11,2025-10-11
WS/MP18112/2024-2025/136975,598750,2,2025-12-08,2026-03-11
WS/MP18112/2024-2025/136983,600000,1,2026-05-29,2026-05-29
WS/MP18112/2024-2025/136984,1496534,2,2026-04-11,2026-07-12
WS/MP18112/2024-2025/136991,1198987,2,2025-12-18,2026-05-27
WS/MP18112/2024-2025/136992,1999127,1,2025-06-09,2025-06-09
WS/MP18112/2024-2025/136993,999362,1,2025-06-13,2025-06-13
WS/MP18112/2024-2025/136994,794715,2,2025-05-30,2025-12-13
WS/MP18112/2024-2025/143947,1441000,1,2025-11-13,2025-11-13
WS/MP18112/2024-2025/145331,694357,2,2025-10-24,2026-01-17
WS/MP18112/2024-2025/164632,2836162,1,2025-05-26,2025-05-26
WS/MP18112/2024-2025/164640,999205,1,2025-06-27,2025-06-27
WS/MP18112/2024-2025/175355,499940,1,2025-06-23,2025-06-23
WS/MP18112/2024-2025/178885,998844,2,2025-07-03,2025-08-26
WS/MP18112/2024-2025/180045,800000,2,2025-10-24,2026-01-17
WS/MP18112/2025-2026/144100,694428,1,2026-07-16,2026-07-16
WS/MP18112/2025-2026/164644,1102688,1,2026-05-27,2026-05-27
WS/MP18112/2025-2026/166836,299956,1,2025-07-09,2025-07-09
WS/MP18112/2025-2026/166838,299956,1,2025-07-09,2025-07-09
WS/MP18112/2025-2026/166839,299956,1,2025-07-09,2025-07-09
WS/MP18112/2025-2026/166840,299956,1,2025-07-09,2025-07-09
WS/MP18112/2025-2026/177326,999338,1,2026-07-03,2026-07-03
WS/MP18112/2025-2026/177328,996059,1,2026-06-15,2026-06-15
WS/MP18112/2025-2026/177331,787513,1,2026-05-18,2026-05-18
WS/MP18112/2025-2026/177508,951952,1,2026-05-27,2026-05-27
WS/MP18112/2025-2026/177510,1996461,1,2026-05-12,2026-05-12
WS/MP18112/2025-2026/177511,894209,1,2026-08-05,2026-08-05
WS/MP18112/2025-2026/178905,996941,1,2026-03-21,2026-03-21
WS/MP18112/2025-2026/188584,999878,1,2026-03-30,2026-03-30
WS/MP18112/2025-2026/188585,992544,1,2026-03-31,2026-03-31
WS/MP18112/2025-2026/188586,576472,1,2026-08-05,2026-08-05
WS/MP18112/2025-2026/188589,961000,1,2026-02-18,2026-02-18
WS/MP18112/2025-2026/188591,960000,1,2026-03-24,2026-03-24
WS/MP18112/2025-2026/188592,2872795,1,2026-04-12,2026-04-12
WS/MP18112/2025-2026/188607,694648,1,2026-04-16,2026-04-16
WS/MP18112/2025-2026/188608,1496344,1,2026-06-30,2026-06-30
WS/MP18112/2025-2026/188616,1192287,1,2026-03-10,2026-03-10
WS/MP18112/2025-2026/188617,397004,1,2026-07-20,2026-07-20
WS/MP18112/2025-2026/188618,1497356,1,2026-03-10,2026-03-10
WS/MP18112/2025-2026/188619,1499170,2,2026-02-26,2026-07-17
WS/MP18112/2025-2026/188633,1199641,1,2026-07-31,2026-07-31
WS/MP18112/2025-2026/188842,1499601,1,2026-06-15,2026-06-15
WS/MP18112/2025-2026/188954,793137,1,2025-08-18,2025-08-18
WS/MP18112/2025-2026/188955,494649,1,2025-09-02,2025-09-02
WS/MP18112/2025-2026/188956,687463,1,2025-07-19,2025-07-19
WS/MP18112/2025-2026/188982,1492290,1,2026-02-18,2026-02-18
WS/MP18112/2025-2026/188983,973361,1,2026-04-15,2026-04-15
WS/MP18112/2025-2026/189000,970479,1,2026-06-23,2026-06-23
WS/MP18112/2025-2026/189005,891074,1,2026-05-18,2026-05-18
WS/MP18112/2025-2026/189777,781671,1,2025-10-18,2025-10-18
WS/MP18112/2025-2026/194085,1000000,1,2026-03-21,2026-03-21
WS/MP18112/2025-2026/199853,952000,1,2026-04-10,2026-04-10
WS/MP18112/2025-2026/199855,998197,2,2026-03-17,2026-06-18
WS/MP18112/2025-2026/199856,787875,1,2026-01-07,2026-01-07
WS/MP18112/2025-2026/200105,446796,1,2026-05-18,2026-05-18
WS/MP18112/2025-2026/200107,299962,1,2026-01-22,2026-01-22
WS/MP18112/2025-2026/200109,299962,1,2026-01-22,2026-01-22
WS/MP18112/2025-2026/200115,499860,1,2025-10-01,2025-10-01
WS/MP18112/2025-2026/200936,985762,1,2026-03-07,2026-03-07
WS/MP18112/2025-2026/203657,775116,1,2026-01-07,2026-01-07
WS/MP18112/2025-2026/205148,986906,1,2026-05-29,2026-05-29
WS/MP18112/2025-2026/211417,842346,1,2026-08-04,2026-08-04
WS/MP18112/2025-2026/213849,784170,1,2026-06-18,2026-06-18
WS/MP18112/2025-2026/217109,693022,1,2025-10-16,2025-10-16
WS/MP18112/2025-2026/217118,640526,1,2025-11-14,2025-11-14
WS/MP18112/2025-2026/217119,682107,2,2025-11-26,2026-08-03
WS/MP18112/2025-2026/217148,692605,1,2025-11-21,2025-11-21
WS/MP18112/2025-2026/233018,979662,1,2026-09-08,2026-09-08
WS/MP18112/2025-2026/233019,614325,1,2026-08-07,2026-08-07
WS/MP18112/2025-2026/233021,999340,1,2026-03-25,2026-03-25
WS/MP18112/2025-2026/233385,1198341,2,2026-05-20,2026-07-22
WS/MP18112/2025-2026/233391,498615,1,2026-03-20,2026-03-20
WS/MP18112/2025-2026/233398,853761,1,2026-06-10,2026-06-10
WS/MP18112/2025-2026/233404,1499496,1,2026-07-17,2026-07-17
WS/MP18112/2025-2026/233405,566690,1,2026-06-15,2026-06-15
WS/MP18112/2025-2026/233406,1199662,1,2026-08-17,2026-08-17
WS/MP18112/2025-2026/233407,1199810,1,2026-08-20,2026-08-20
WS/MP18112/2025-2026/233410,990844,1,2026-07-03,2026-07-03
WS/MP18112/2025-2026/233412,999670,2,2026-06-20,2026-08-10
WS/MP18112/2025-2026/233413,998775,1,2026-03-22,2026-03-22
WS/MP18112/2025-2026/233414,966044,1,2026-08-03,2026-08-03
WS/MP18112/2025-2026/233585,855259,1,2026-08-05,2026-08-05
WS/MP18112/2025-2026/233588,330990,1,2026-03-07,2026-03-07
WS/MP18112/2025-2026/233589,330990,1,2026-03-07,2026-03-07
WS/MP18112/2025-2026/233595,330990,1,2026-03-07,2026-03-07
WS/MP18112/2025-2026/233599,330990,1,2026-03-07,2026-03-07
WS/MP18112/2025-2026/233600,330990,1,2026-03-07,2026-03-07
WS/MP18112/2025-2026/236488,330990,1,2026-03-07,2026-03-07
WS/MP18112/2025-2026/236489,330990,1,2026-03-07,2026-03-07
WS/MP18112/2025-2026/243544,998755,2,2025-10-29,2025-12-22
WS/MP18112/2025-2026/243760,992500,1,2026-08-11,2026-08-11
WS/MP18112/2025-2026/249985,996015,1,2026-01-07,2026-01-07
WS/MP18112/2025-2026/249987,986321,1,2026-01-07,2026-01-07
WS/MP18112/2025-2026/258223,970281,1,2026-08-24,2026-08-24
WS/MP18112/2025-2026/258916,951150,1,2026-01-16,2026-01-16
WS/MP18112/2025-2026/259047,330990,1,2026-03-07,2026-03-07
WS/MP18112/2025-2026/259059,479000,1,2026-05-22,2026-05-22
WS/MP18112/2025-2026/259060,498287,1,2026-05-17,2026-05-17
WS/MP18112/2026-2027/164649,497585,1,2026-07-24,2026-07-24
WS/MP18112/2026-2027/164651,499999,1,2026-07-24,2026-07-24
WS/MP18112/2026-2027/252259,595584,1,2026-09-02,2026-09-02
WS/MP18112/2026-2027/259061,975465,1,2026-08-20,2026-08-20
WS/MP18113/2025-2026/162518,1491921,1,2025-06-12,2025-06-12
WS/MP18113/2025-2026/162522,2499612,1,2025-08-05,2025-08-05
WS/MP18113/2025-2026/166722,2482574,1,2026-01-07,2026-01-07
WS/MP18113/2025-2026/176732,1991442,1,2025-07-10,2025-07-10
WS/MP18113/2025-2026/176734,1999000,1,2025-08-26,2025-08-26
WS/MP18113/2025-2026/180320,974667,1,2025-12-08,2025-12-08
WS/MP18113/2025-2026/185620,1472317,1,2026-03-05,2026-03-05
WS/MP18113/2025-2026/185622,1500000,1,2026-03-02,2026-03-02
WS/MP18113/2025-2026/185623,1500000,1,2026-02-24,2026-02-24
WS/MP18113/2025-2026/192629,1972562,1,2026-03-16,2026-03-16
WS/MP18113/2025-2026/192630,1968229,1,2026-03-16,2026-03-16
WS/MP18113/2025-2026/192641,994542,1,2025-10-03,2025-10-03
WS/MP18113/2025-2026/193125,994421,1,2026-02-13,2026-02-13
WS/MP18113/2025-2026/193132,992820,1,2025-09-12,2025-09-12
WS/MP18113/2025-2026/193577,2000000,1,2025-10-17,2025-10-17
WS/MP18113/2025-2026/193579,1997882,2,2025-10-17,2025-10-17
WS/MP18113/2025-2026/194151,1989626,1,2026-03-23,2026-03-23
WS/MP18113/2025-2026/197037,998112,1,2026-03-21,2026-03-21
WS/MP18113/2025-2026/202118,1499882,1,2025-11-06,2025-11-06
WS/MP18113/2025-2026/202192,1000000,1,2026-03-16,2026-03-16
WS/MP18113/2025-2026/219628,989730,1,2025-10-17,2025-10-17
WS/MP18113/2025-2026/219638,1498823,1,2026-01-12,2026-01-12
WS/MP18113/2025-2026/219666,993175,1,2025-10-17,2025-10-17
WS/MP18113/2025-2026/219691,999000,1,2025-12-30,2025-12-30
WS/MP18113/2025-2026/226247,1486882,1,2026-04-06,2026-04-06
WS/MP18113/2025-2026/226274,999000,1,2026-03-19,2026-03-19
WS/MP18113/2025-2026/226276,993562,1,2025-12-23,2025-12-23
WS/MP18113/2026-2027/193159,1499000,1,2026-09-01,2026-09-01
WS/MP18113/2026-2027/193160,993937,1,2026-09-07,2026-09-07
WS/MP18113/2026-2027/193162,986643,1,2026-05-22,2026-05-22
WS/MP18113/2026-2027/201976,1497230,1,2026-07-02,2026-07-02
WS/MP18113/2026-2027/202128,924462,1,2026-05-18,2026-05-18
WS/MP18113/2026-2027/202193,964272,1,2026-05-18,2026-05-18
WS/MP18113/2026-2027/226249,983943,1,2026-09-07,2026-09-07
WS/MP18113/2026-2027/226266,987871,1,2026-07-30,2026-07-30
WS/MP18113/2026-2027/226267,981269,1,2026-05-20,2026-05-20
WS/MP18113/2026-2027/244708,1999000,1,2026-08-10,2026-08-10
WS/MP18113/2026-2027/247243,987912,1,2026-07-02,2026-07-02
WS/MP18113/2026-2027/247450,987912,1,2026-07-02,2026-07-02
WS/MP18114/2025-2026/157436,898906,1,2026-01-01,2026-01-01
WS/MP18114/2025-2026/157437,999366,1,2025-09-16,2025-09-16
WS/MP18114/2025-2026/157438,999556,1,2026-03-28,2026-03-28
WS/MP18114/2025-2026/157440,999084,1,2025-10-08,2025-10-08
WS/MP18114/2025-2026/157446,994001,1,2026-01-29,2026-01-29
WS/MP18114/2025-2026/157447,995218,1,2025-12-11,2025-12-11
WS/MP18114/2025-2026/157450,995532,1,2025-08-14,2025-08-14
WS/MP18114/2025-2026/157452,997293,1,2026-03-17,2026-03-17
WS/MP18114/2025-2026/157454,997785,1,2026-03-28,2026-03-28
WS/MP18114/2025-2026/157456,995370,1,2025-12-11,2025-12-11
WS/MP18114/2025-2026/157475,998532,1,2025-09-16,2025-09-16
WS/MP18114/2025-2026/157479,699468,1,2025-05-08,2025-05-08
WS/MP18114/2025-2026/157481,995204,1,2026-03-28,2026-03-28
WS/MP18114/2025-2026/157492,995447,1,2026-04-04,2026-04-04
WS/MP18114/2025-2026/157541,998898,1,2026-02-02,2026-02-02
WS/MP18114/2025-2026/157545,999600,1,2026-02-24,2026-02-24
WS/MP18114/2025-2026/157606,993784,1,2026-02-13,2026-02-13
WS/MP18114/2025-2026/157610,999800,1,2026-02-24,2026-02-24
WS/MP18114/2025-2026/157616,996888,1,2026-01-29,2026-01-29
WS/MP18114/2025-2026/157622,994717,1,2025-12-18,2025-12-18
WS/MP18114/2025-2026/157634,996465,1,2026-03-28,2026-03-28
WS/MP18114/2025-2026/157656,896192,1,2025-07-10,2025-07-10
WS/MP18114/2025-2026/157658,898526,1,2026-02-13,2026-02-13
WS/MP18114/2025-2026/166003,992963,1,2026-02-23,2026-02-23
WS/MP18114/2025-2026/166009,990214,1,2025-12-04,2025-12-04
WS/MP18114/2025-2026/166011,993522,1,2026-02-13,2026-02-13
WS/MP18114/2026-2027/157453,997213,1,2026-06-23,2026-06-23
WS/MP18114/2026-2027/157491,998674,1,2026-09-08,2026-09-08
WS/MP18114/2026-2027/157612,699600,1,2026-06-24,2026-06-24
WS/MP18114/2026-2027/157625,998215,1,2026-06-24,2026-06-24
WS/MP18114/2026-2027/157647,998710,1,2026-06-20,2026-06-20
WS/MP18114/2026-2027/157648,998740,1,2026-06-23,2026-06-23
WS/MP18114/2026-2027/157654,998564,1,2026-06-23,2026-06-23
WS/MP18114/2026-2027/227486,999466,1,2026-05-26,2026-05-26
WS/MP18114/2026-2027/227487,996401,1,2026-08-22,2026-08-22
WS/MP18114/2026-2027/227497,997184,1,2026-08-19,2026-08-19
WS/MP18114/2026-2027/227498,999630,1,2026-07-17,2026-07-17
WS/MP18114/2026-2027/247796,992383,1,2026-08-14,2026-08-14
WS/MP18114/2026-2027/247799,993302,1,2026-08-14,2026-08-14
WS/MP18114/2026-2027/247816,995413,1,2026-07-22,2026-07-22
WS/MP18115/2025-2026/186458,697398,1,2026-03-21,2026-03-21
WS/MP18115/2025-2026/186471,697787,1,2026-02-27,2026-02-27
WS/MP18115/2025-2026/186476,697396,1,2026-02-27,2026-02-27
WS/MP18115/2025-2026/186488,687408,1,2026-03-21,2026-03-21
WS/MP18115/2025-2026/186494,497428,1,2026-03-21,2026-03-21
WS/MP18115/2025-2026/186646,699871,1,2026-08-31,2026-08-31
WS/MP18115/2025-2026/186731,697088,1,2026-07-06,2026-07-06
WS/MP18115/2025-2026/186739,997334,1,2026-06-29,2026-06-29
WS/MP18115/2025-2026/188849,1000000,1,2026-02-20,2026-02-20
WS/MP18115/2026-2027/186414,694967,1,2026-04-11,2026-04-11
WS/MP18115/2026-2027/186422,695359,1,2026-09-07,2026-09-07
WS/MP18115/2026-2027/186428,700000,1,2026-07-17,2026-07-17
WS/MP18115/2026-2027/186433,699522,1,2026-07-02,2026-07-02
WS/MP18115/2026-2027/186434,700000,1,2026-07-02,2026-07-02
WS/MP18115/2026-2027/186437,700000,1,2026-07-02,2026-07-02
WS/MP18115/2026-2027/186439,700000,1,2026-07-02,2026-07-02
WS/MP18115/2026-2027/186442,700000,1,2026-07-17,2026-07-17
WS/MP18115/2026-2027/186454,699547,1,2026-07-02,2026-07-02
WS/MP18115/2026-2027/186475,699113,1,2026-07-06,2026-07-06
WS/MP18115/2026-2027/186492,697459,1,2026-07-17,2026-07-17
WS/MP18115/2026-2027/186493,299649,1,2026-04-11,2026-04-11
WS/MP18115/2026-2027/186643,696799,1,2026-09-03,2026-09-03
WS/MP18115/2026-2027/186677,699241,1,2026-08-27,2026-08-27
WS/MP18115/2026-2027/186723,999743,1,2026-06-23,2026-06-23
WS/MP18116/2025-2026/185875,2100000,1,2025-10-07,2025-10-07
WS/MP18116/2025-2026/186699,996428,1,2026-04-08,2026-04-08
WS/MP18116/2025-2026/186710,987471,1,2026-01-29,2026-01-29
WS/MP18116/2025-2026/186719,997000,1,2026-03-27,2026-03-27
WS/MP18116/2025-2026/186722,979651,1,2025-09-30,2025-09-30
WS/MP18116/2025-2026/186741,295624,1,2025-07-05,2025-07-05
WS/MP18116/2025-2026/186744,296098,1,2025-07-05,2025-07-05
WS/MP18116/2025-2026/186747,296098,1,2025-07-05,2025-07-05
WS/MP18116/2025-2026/192284,1463606,1,2025-12-02,2025-12-02
WS/MP18116/2025-2026/192298,999000,1,2025-11-06,2025-11-06
WS/MP18116/2025-2026/192299,999000,1,2025-11-06,2025-11-06
WS/MP18116/2025-2026/192300,999000,1,2025-11-06,2025-11-06
WS/MP18116/2025-2026/202343,1498932,1,2025-11-18,2025-11-18
WS/MP18116/2025-2026/202759,498270,1,2026-02-02,2026-02-02
WS/MP18116/2025-2026/202771,499237,1,2026-02-02,2026-02-02
WS/MP18116/2025-2026/208376,483899,1,2026-02-09,2026-02-09
WS/MP18116/2025-2026/208377,483571,1,2026-02-09,2026-02-09
WS/MP18116/2025-2026/209814,296167,1,2026-05-15,2026-05-15
WS/MP18116/2025-2026/210170,973886,1,2026-02-12,2026-02-12
WS/MP18116/2025-2026/210953,792080,1,2026-05-15,2026-05-15
WS/MP18116/2025-2026/213032,989052,1,2026-08-26,2026-08-26
WS/MP18116/2025-2026/213831,1494508,1,2026-09-02,2026-09-02
WS/MP18116/2025-2026/220948,488225,1,2026-02-14,2026-02-14
WS/MP18116/2025-2026/220949,488004,1,2026-02-14,2026-02-14
WS/MP18116/2025-2026/220950,492617,1,2026-03-13,2026-03-13
WS/MP18116/2025-2026/220951,492695,1,2026-03-13,2026-03-13
WS/MP18116/2025-2026/220954,492080,1,2026-08-06,2026-08-06
WS/MP18116/2025-2026/220956,487287,1,2026-02-14,2026-02-14
WS/MP18116/2025-2026/221635,1487406,1,2026-01-29,2026-01-29
WS/MP18116/2025-2026/221636,1474069,1,2026-04-06,2026-04-06
WS/MP18116/2025-2026/224073,1435102,1,2026-04-10,2026-04-10
WS/MP18116/2025-2026/224081,989838,1,2026-05-05,2026-05-05
WS/MP18116/2025-2026/227495,999300,1,2026-07-10,2026-07-10
WS/MP18116/2025-2026/228144,499939,1,2026-04-22,2026-04-22
WS/MP18116/2025-2026/228146,499545,1,2026-04-21,2026-04-21
WS/MP18116/2025-2026/229118,973636,1,2026-02-25,2026-02-25
WS/MP18116/2025-2026/232156,692379,1,2026-02-26,2026-02-26
WS/MP18116/2025-2026/232158,759683,1,2026-02-03,2026-02-03
WS/MP18116/2025-2026/232160,494588,1,2026-02-03,2026-02-03
WS/MP18116/2025-2026/235496,492714,1,2026-02-14,2026-02-14
WS/MP18116/2025-2026/235500,471677,1,2026-04-09,2026-04-09
WS/MP18116/2025-2026/235747,492000,1,2026-07-07,2026-07-07
WS/MP18116/2025-2026/235750,992529,1,2026-07-07,2026-07-07
WS/MP18116/2025-2026/235800,483483,1,2026-01-29,2026-01-29
WS/MP18116/2025-2026/235814,985926,1,2026-01-29,2026-01-29
WS/MP18116/2025-2026/235815,296645,1,2026-05-20,2026-05-20
WS/MP18116/2025-2026/235820,972190,1,2026-01-29,2026-01-29
WS/MP18116/2025-2026/235824,988136,1,2026-08-25,2026-08-25
WS/MP18116/2025-2026/235830,483483,1,2026-01-29,2026-01-29
WS/MP18116/2025-2026/236537,499752,1,2026-04-07,2026-04-07
WS/MP18116/2025-2026/236540,499976,1,2026-08-07,2026-08-07
WS/MP18116/2025-2026/240280,1000000,1,2026-07-02,2026-07-02
WS/MP18116/2025-2026/240779,396643,1,2026-02-10,2026-02-10
WS/MP18116/2025-2026/240788,491992,1,2026-07-22,2026-07-22
WS/MP18116/2025-2026/240789,474594,1,2026-07-22,2026-07-22
WS/MP18116/2025-2026/240791,488072,1,2026-05-05,2026-05-05
WS/MP18116/2025-2026/240795,488072,1,2026-05-05,2026-05-05
WS/MP18116/2025-2026/241509,984512,1,2026-04-27,2026-04-27
WS/MP18116/2025-2026/248386,1484041,1,2026-08-25,2026-08-25
WS/MP18116/2025-2026/251303,391730,1,2026-05-12,2026-05-12
WS/MP18116/2026-2027/186732,492538,1,2026-04-09,2026-04-09
WS/MP18116/2026-2027/186750,492538,1,2026-04-09,2026-04-09
WS/MP18116/2026-2027/209822,498686,1,2026-07-02,2026-07-02
WS/MP18116/2026-2027/209824,498686,1,2026-07-02,2026-07-02
WS/MP18116/2026-2027/211811,498686,1,2026-07-02,2026-07-02
WS/MP18116/2026-2027/211813,498686,1,2026-07-02,2026-07-02
WS/MP18116/2026-2027/220965,997326,1,2026-06-18,2026-06-18
WS/MP18116/2026-2027/220968,995979,1,2026-06-18,2026-06-18
WS/MP18116/2026-2027/220975,997448,1,2026-07-02,2026-07-02
WS/MP18116/2026-2027/229732,996904,1,2026-07-03,2026-07-03
WS/MP18116/2026-2027/230996,1481986,1,2026-04-09,2026-04-09
WS/MP18116/2026-2027/230997,1481828,1,2026-04-09,2026-04-09
WS/MP18116/2026-2027/232150,2447691,1,2026-08-13,2026-08-13
WS/MP18116/2026-2027/232199,1463967,1,2026-04-09,2026-04-09
WS/MP18116/2026-2027/248969,977041,1,2026-07-31,2026-07-31
WS/MP18117/2024-2025/142021,1000000,1,2024-12-19,2024-12-19
WS/MP18117/2024-2025/142022,1000000,1,2024-12-19,2024-12-19
WS/MP18117/2024-2025/170214,1000000,1,2025-08-14,2025-08-14
WS/MP18117/2025-2026/164364,987710,1,2026-07-01,2026-07-01
WS/MP18117/2025-2026/164385,992586,1,2026-09-03,2026-09-03
WS/MP18117/2025-2026/164393,987617,1,2026-09-07,2026-09-07
WS/MP18117/2025-2026/164512,989166,1,2026-07-08,2026-07-08
WS/MP18117/2025-2026/164520,899164,1,2026-07-09,2026-07-09
WS/MP18117/2025-2026/166250,878646,1,2026-04-24,2026-04-24
WS/MP18117/2025-2026/166251,985048,1,2026-03-06,2026-03-06
WS/MP18117/2025-2026/166253,493028,1,2026-03-06,2026-03-06
WS/MP18117/2025-2026/168713,1000000,1,2025-06-19,2025-06-19
WS/MP18117/2025-2026/168715,1000000,1,2025-06-19,2025-06-19
WS/MP18117/2025-2026/170204,923569,1,2026-02-26,2026-02-26
WS/MP18117/2025-2026/170729,1000000,1,2026-09-01,2026-09-01
WS/MP18117/2025-2026/170768,996000,1,2026-09-01,2026-09-01
WS/MP18117/2026-2027/164338,989456,1,2026-08-07,2026-08-07
WS/MP18117/2026-2027/164340,989456,1,2026-08-07,2026-08-07
WS/MP18118/2025-2026/159252,614451,1,2025-09-30,2025-09-30
WS/MP18118/2025-2026/160490,1000000,2,2025-08-08,2025-11-12
WS/MP18118/2025-2026/160495,1000000,1,2025-09-03,2025-09-03
WS/MP18118/2025-2026/160504,556000,1,2026-04-06,2026-04-06
WS/MP18118/2025-2026/166392,938055,1,2025-11-01,2025-11-01
