work_id,work_category_recommended,state_recommended,ida_recommended,hon_ble_members_of_parliament_recommended,constituency_recommended,work_description_recommended,recommended_date_recommended,recommended_amount_recommended,sanction_date_recommended,work_category_sanctioned,state_sanctioned,ida_sanctioned,hon_ble_members_of_parliament_sanctioned,constituency_sanctioned,work_description_sanctioned,recommended_date_sanctioned,sanction_date_sanctioned,sanction_amount_sanctioned,work_status_sanctioned,work_category_completed,state_completed,ida_completed,work_description_completed,hon_ble_members_of_parliament_completed,constituency_completed,image_completed,completion_date_completed,amount_disbursed_completed,has_recommended_record,has_sanctioned_record,has_completed_record,total_paid,payment_count,first_payment_date,last_payment_date,has_payment_record,work_description,state,ida,constituency
WS/MP18110/2025-2026/209781,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Renawadigavthan GP property No 205 Tal Parner,2025-06-17,2000000.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Renawadigavthan GP property No 205 Tal Parner,2025-06-17,2025-07-24,2000000.0,Sanction,,,,,,,,,,True,True,False,,,,,False,Construction of a community centers   and community halls at Renawadigavthan GP property No 205 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209782,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Karjule Harya in front of Swami Samarth Mandir GP property No 1468 Tal Parner,2025-06-17,995411.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Karjule Harya in front of Swami Samarth Mandir GP property No 1468 Tal Parner,2025-06-17,2025-07-24,995411.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),Construction of a community centers   and community halls at Karjule Harya in front of Swami Samarth Mandir GP property No 1468 Tal Parner,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2026-02-20,995411,True,True,True,995411,1.0,2026-02-25,2026-02-25,True,Construction of a community centers   and community halls at Karjule Harya in front of Swami Samarth Mandir GP property No 1468 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209783,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Nighoj (Sirsule) in front of Hanuman Mandir GP property No 0004 Tal Parner,2025-06-17,1500000.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Nighoj (Sirsule) in front of Hanuman Mandir GP property No 0004 Tal Parner,2025-06-17,2025-07-24,1500000.0,Sanction,,,,,,,,,,True,True,False,,,,,False,Construction of a community centers   and community halls at Nighoj (Sirsule) in front of Hanuman Mandir GP property No 0004 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209784,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,installing paver blocks at Varanwadi in front of Ganpati Mandir GP property No 691 4 Tal Parner,2025-06-17,971493.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,installing paver blocks at Varanwadi in front of Ganpati Mandir GP property No 691 4 Tal Parner,2025-06-17,2025-07-24,971493.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),installing paver blocks at Varanwadi in front of Ganpati Mandir GP property No 691 4 Tal Parner,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2026-01-19,971493,True,True,True,971493,1.0,2026-01-19,2026-01-19,True,installing paver blocks at Varanwadi in front of Ganpati Mandir GP property No 691 4 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209785,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,installing paver blocks at Mhasoba Zap in front of Maruti Mandir GP property No 95 Tal Parner,2025-06-17,999962.0,2025-07-23,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,installing paver blocks at Mhasoba Zap in front of Maruti Mandir GP property No 95 Tal Parner,2025-06-17,2025-07-23,999962.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),installing paver blocks at Mhasoba Zap in front of Maruti Mandir GP property No 95 Tal Parner,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2026-04-06,999962,True,True,True,999962,1.0,2026-04-09,2026-04-09,True,installing paver blocks at Mhasoba Zap in front of Maruti Mandir GP property No 95 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209786,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Crematoriums or structures on burial cremation ground for public convenience at Hattalkhindi GP property No 311 Tal Parner,2025-06-17,1000000.0,2025-07-23,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Crematoriums or structures on burial cremation ground for public convenience at Hattalkhindi GP property No 311 Tal Parner,2025-06-17,2025-07-23,1000000.0,Physical Inspection,,,,,,,,,,True,True,False,990652,1.0,2026-07-10,2026-07-10,True,Crematoriums or structures on burial cremation ground for public convenience at Hattalkhindi GP property No 311 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/242056,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Dhakanwadi Morkhila Wasti in front of Mahadev Mandir in GP property No 15 3 D Khata No. 1383 Tal Pathardi,2025-10-14,968030.0,2025-12-26,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Dhakanwadi Morkhila Wasti in front of Mahadev Mandir in GP property No 15 3 D Khata No. 1383 Tal Pathardi,2025-10-14,2025-12-26,968030.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),Construction of a community centres and community halls at Dhakanwadi Morkhila Wasti in front of Mahadev Mandir in GP property No 15 3 D Khata No. 1383 Tal Pathardi,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2026-07-21,968030,True,True,True,968030,1.0,2026-07-08,2026-07-08,True,Construction of a community centres and community halls at Dhakanwadi Morkhila Wasti in front of Mahadev Mandir in GP property No 15 3 D Khata No. 1383 Tal Pathardi,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/242059,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Installing paver blocks at Nimgaon Ghana in front of Ahilyabai Holkar Samajik Sabhagruha GP property No 92 B Tal Nagar,2025-10-14,1000000.0,2026-02-23,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Installing paver blocks at Nimgaon Ghana in front of Ahilyabai Holkar Samajik Sabhagruha GP property No 92 B Tal Nagar,2025-10-14,2026-02-23,1000000.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),Installing paver blocks at Nimgaon Ghana in front of Ahilyabai Holkar Samajik Sabhagruha GP property No 92 B Tal Nagar,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2026-02-23,1000000,True,True,True,1000000,1.0,2026-02-25,2026-02-25,True,Installing paver blocks at Nimgaon Ghana in front of Ahilyabai Holkar Samajik Sabhagruha GP property No 92 B Tal Nagar,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/248577,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Alkuti Gholap Mala in front of Sant Savata Mali Mandir GP property No 1502 2 Tal Parner,2025-11-17,1500000.0,2026-01-23,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Alkuti Gholap Mala in front of Sant Savata Mali Mandir GP property No 1502 2 Tal Parner,2025-11-17,2026-01-23,1500000.0,Sanction,,,,,,,,,,True,True,False,,,,,False,Construction of a community centres and community halls at Alkuti Gholap Mala in front of Sant Savata Mali Mandir GP property No 1502 2 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/248578,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Randhe Karwadi in front of Ganesh Mandir GP property No 1101 Tal Parner,2025-11-17,2000000.0,2026-01-23,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Randhe Karwadi in front of Ganesh Mandir GP property No 1101 Tal Parner,2025-11-17,2026-01-23,2000000.0,Sanction,,,,,,,,,,True,True,False,,,,,False,Construction of a community centres and community halls at Randhe Karwadi in front of Ganesh Mandir GP property No 1101 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/248580,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Padali Ale Bend Wasti in GP property No 2675 Tal Parner,2025-11-17,1500000.0,2026-01-23,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Padali Ale Bend Wasti in GP property No 2675 Tal Parner,2025-11-17,2026-01-23,1500000.0,Sanction,,,,,,,,,,True,True,False,,,,,False,Construction of a community centres and community halls at Padali Ale Bend Wasti in GP property No 2675 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2026-2027/242057,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Walki in front of Dharmnath Mandir GP property No 0458 Tal Nagar,2025-10-14,1500000.0,2026-06-18,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Walki in front of Dharmnath Mandir GP property No 0458 Tal Nagar,2025-10-14,2026-06-18,1500000.0,Physical Inspection,,,,,,,,,,True,True,False,1486985,1.0,2026-06-24,2026-06-24,True,Construction of a community centres and community halls at Walki in front of Dharmnath Mandir GP property No 0458 Tal Nagar,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2026-2027/242058,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Wakodi in front of Hanuman Mandir GP property No 265 Tal Nagar,2025-10-14,2500000.0,2026-07-01,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Wakodi in front of Hanuman Mandir GP property No 265 Tal Nagar,2025-10-14,2026-07-01,2500000.0,Physical Inspection,,,,,,,,,,True,True,False,2500000,1.0,2026-07-03,2026-07-03,True,Construction of a community centres and community halls at Wakodi in front of Hanuman Mandir GP property No 265 Tal Nagar,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2026-2027/248579,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Common work sheds for artisans installing paver blocks at Loni Mavla  Chaskarwadi in front of Hanuman Mandir GP property No 1120 Tal Parner,2025-11-17,1000000.0,2026-06-18,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Common work sheds for artisans installing paver blocks at Loni Mavla  Chaskarwadi in front of Hanuman Mandir GP property No 1120 Tal Parner,2025-11-17,2026-06-18,1000000.0,Physical Inspection,,,,,,,,,,True,True,False,993116,1.0,2026-06-25,2026-06-25,True,Common work sheds for artisans installing paver blocks at Loni Mavla  Chaskarwadi in front of Hanuman Mandir GP property No 1120 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2026-2027/262176,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of concreate road at Adhorewadi Navnath Nagar Bus Stand Boys School GP property No 2381 Tal Shrigonda,2026-01-27,1000000.0,2026-06-25,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of concreate road at Adhorewadi Navnath Nagar Bus Stand Boys School GP property No 2381 Tal Shrigonda,2026-01-27,2026-06-25,1000000.0,Sanction,,,,,,,,,,True,True,False,,,,,False,Construction of concreate road at Adhorewadi Navnath Nagar Bus Stand Boys School GP property No 2381 Tal Shrigonda,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2026-2027/262178,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Pisore khand in front of Vitthal Rukhmini Mandir GP property No 07 Tal Shrigonda,2026-01-27,1200000.0,2026-06-25,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centres and community halls at Pisore khand in front of Vitthal Rukhmini Mandir GP property No 07 Tal Shrigonda,2026-01-27,2026-06-25,1200000.0,Sanction,,,,,,,,,,True,True,False,,,,,False,Construction of a community centres and community halls at Pisore khand in front of Vitthal Rukhmini Mandir GP property No 07 Tal Shrigonda,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
