work_id,demo_anonymous_id,work_category,financial_year,sanctioned_amount_inr,semantic_peer_count,average_similarity,peer_median_inr,peer_q1_inr,peer_q3_inr,cost_ratio_to_median,semantic_cost_score,cost_flag,cost_explanation
WS/MP18361/2025-2026/226172,ND-WRK-1945,Normal/Others,2025-2026,3500000.0,30,0.728,1000000.0,998670.0,1575000.0,3.5,95.0,True,"Sanctioned amount ₹3,500,000 is 3.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.73."
WS/MP18118/2025-2026/188297,ND-WRK-0583,Normal/Others,2025-2026,749900.0,30,0.672,170000.0,170000.0,170000.0,4.41,94.11,True,"Sanctioned amount ₹749,900 is 4.41× the median ₹170,000 across 30 semantically similar works. Average description similarity: 0.67."
WS/MP18118/2025-2026/188298,ND-WRK-0584,Normal/Others,2025-2026,749900.0,30,0.68,170000.0,170000.0,170000.0,4.41,94.11,True,"Sanctioned amount ₹749,900 is 4.41× the median ₹170,000 across 30 semantically similar works. Average description similarity: 0.68."
WS/MP18308/2025-2026/244680,ND-WRK-1853,Normal/Others,2025-2026,5000000.0,30,0.676,1500000.0,1000000.0,2000000.0,3.33,93.33,True,"Sanctioned amount ₹5,000,000 is 3.33× the median ₹1,500,000 across 30 semantically similar works. Average description similarity: 0.68."
WS/MP18116/2025-2026/185875,ND-WRK-0419,Repair and Renovation,2025-2026,2100000.0,6,0.691,500000.0,500000.0,1250000.0,4.2,92.0,True,"Sanctioned amount ₹2,100,000 is 4.20× the median ₹500,000 across 6 semantically similar works. Average description similarity: 0.69."
WS/MP18308/2025-2026/262899,ND-WRK-1875,Normal/Others,2025-2026,4700000.0,7,0.636,1500000.0,850000.0,1850000.0,3.13,91.33,True,"Sanctioned amount ₹4,700,000 is 3.13× the median ₹1,500,000 across 7 semantically similar works. Average description similarity: 0.64."
WS/MP18120/2025-2026/241629,ND-WRK-0756,Normal/Others,2025-2026,900000.0,23,0.59,220000.0,220000.0,598848.5,4.09,90.91,True,"Sanctioned amount ₹900,000 is 4.09× the median ₹220,000 across 23 semantically similar works. Average description similarity: 0.59."
WS/MP18120/2025-2026/241630,ND-WRK-0757,Normal/Others,2025-2026,900000.0,18,0.599,220000.0,220000.0,736924.25,4.09,90.91,True,"Sanctioned amount ₹900,000 is 4.09× the median ₹220,000 across 18 semantically similar works. Average description similarity: 0.60."
WS/MP18120/2025-2026/190402,ND-WRK-0731,Normal/Others,2025-2026,2999200.0,30,0.781,988952.5,540464.25,1000000.0,3.03,90.33,True,"Sanctioned amount ₹2,999,200 is 3.03× the median ₹988,952 across 30 semantically similar works. Average description similarity: 0.78."
WS/MP18361/2025-2026/219021,ND-WRK-1937,Normal/Others,2025-2026,3000000.0,30,0.614,989351.5,549226.75,1000000.0,3.03,90.32,True,"Sanctioned amount ₹3,000,000 is 3.03× the median ₹989,352 across 30 semantically similar works. Average description similarity: 0.61."
WS/MP18120/2026-2027/218858,ND-WRK-0770,Normal/Others,2026-2027,2993160.0,30,0.811,995473.5,700000.0,1000000.0,3.01,90.07,True,"Sanctioned amount ₹2,993,160 is 3.01× the median ₹995,474 across 30 semantically similar works. Average description similarity: 0.81."
WS/MP691/2025-2026/237153,ND-WRK-2392,Normal/Others,2025-2026,3000000.0,30,0.639,998500.0,615464.25,1000000.0,3.0,90.05,True,"Sanctioned amount ₹3,000,000 is 3.00× the median ₹998,500 across 30 semantically similar works. Average description similarity: 0.64."
WS/MP672/2026-2027/227307,ND-WRK-2160,Normal/Others,2026-2027,3000000.0,30,0.788,999500.0,699773.25,1000000.0,3.0,90.02,True,"Sanctioned amount ₹3,000,000 is 3.00× the median ₹999,500 across 30 semantically similar works. Average description similarity: 0.79."
WS/MP18361/2025-2026/226171,ND-WRK-1944,Normal/Others,2025-2026,3000000.0,30,0.742,1000000.0,997602.75,1600000.0,3.0,90.0,True,"Sanctioned amount ₹3,000,000 is 3.00× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.74."
WS/MP18127/2026-2027/253692,ND-WRK-1211,Normal/Others,2026-2027,3000000.0,30,0.737,1000000.0,700000.0,1000000.0,3.0,90.0,True,"Sanctioned amount ₹3,000,000 is 3.00× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.74."
WS/MP18308/2025-2026/145410,ND-WRK-1834,Repair and Renovation,2025-2026,2000000.0,6,0.654,500000.0,500000.0,1250000.0,4.0,90.0,True,"Sanctioned amount ₹2,000,000 is 4.00× the median ₹500,000 across 6 semantically similar works. Average description similarity: 0.65."
WS/MP18307/2025-2026/231066,ND-WRK-1822,Normal/Others,2025-2026,3000000.0,30,0.716,1000000.0,700000.0,1200000.0,3.0,90.0,True,"Sanctioned amount ₹3,000,000 is 3.00× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.72."
WS/MP687/2025-2026/199486,ND-WRK-2357,Normal/Others,2025-2026,3000000.0,30,0.588,1000000.0,1000000.0,1500000.0,3.0,90.0,True,"Sanctioned amount ₹3,000,000 is 3.00× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.59."
WS/MP672/2025-2026/181702,ND-WRK-2145,Normal/Others,2025-2026,3000000.0,30,0.757,1000000.0,980664.75,1200000.0,3.0,90.0,True,"Sanctioned amount ₹3,000,000 is 3.00× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.76."
WS/MP18123/2025-2026/190896,ND-WRK-0834,Normal/Others,2025-2026,1500000.0,30,0.74,500000.0,500000.0,700000.0,3.0,90.0,True,"Sanctioned amount ₹1,500,000 is 3.00× the median ₹500,000 across 30 semantically similar works. Average description similarity: 0.74."
WS/MP18117/2025-2026/164499,ND-WRK-0534,Normal/Others,2025-2026,1000000.0,30,0.623,250000.0,220000.0,749975.0,4.0,90.0,True,"Sanctioned amount ₹1,000,000 is 4.00× the median ₹250,000 across 30 semantically similar works. Average description similarity: 0.62."
WS/MP18307/2025-2026/231068,ND-WRK-1824,Normal/Others,2025-2026,4000000.0,30,0.613,1337373.0,989423.5,2000000.0,2.99,89.82,True,"Sanctioned amount ₹4,000,000 is 2.99× the median ₹1,337,373 across 30 semantically similar works. Average description similarity: 0.61."
WS/MP18121/2024-2025/146671,ND-WRK-0777,Normal/Others,2024-2025,2945320.0,16,0.588,1000000.0,800000.0,1000000.0,2.95,88.91,True,"Sanctioned amount ₹2,945,320 is 2.95× the median ₹1,000,000 across 16 semantically similar works. Average description similarity: 0.59."
WS/MP18376/2026-2027/197880,ND-WRK-2006,Normal/Others,2026-2027,2500000.0,10,0.59,859447.5,707333.0,1000000.0,2.91,88.18,True,"Sanctioned amount ₹2,500,000 is 2.91× the median ₹859,448 across 10 semantically similar works. Average description similarity: 0.59."
WS/MP18112/2025-2026/188592,ND-WRK-0193,Normal/Others,2025-2026,2881000.0,30,0.701,999979.5,984212.75,1000000.0,2.88,87.62,True,"Sanctioned amount ₹2,881,000 is 2.88× the median ₹999,980 across 30 semantically similar works. Average description similarity: 0.70."
WS/MP18120/2025-2026/190401,ND-WRK-0730,Normal/Others,2025-2026,2798862.0,30,0.747,986955.0,780874.0,1000000.0,2.84,86.72,True,"Sanctioned amount ₹2,798,862 is 2.84× the median ₹986,955 across 30 semantically similar works. Average description similarity: 0.75."
WS/MP18429/2026-2027/240743,ND-WRK-2041,Normal/Others,2026-2027,1983400.0,15,0.634,700000.0,599500.0,994829.5,2.83,86.67,True,"Sanctioned amount ₹1,983,400 is 2.83× the median ₹700,000 across 15 semantically similar works. Average description similarity: 0.63."
WS/MP18112/2025-2026/213849,ND-WRK-0230,Normal/Others,2025-2026,799000.0,30,0.58,220000.0,220000.0,687425.0,3.63,86.32,True,"Sanctioned amount ₹799,000 is 3.63× the median ₹220,000 across 30 semantically similar works. Average description similarity: 0.58."
WS/MP18127/2026-2027/188392,ND-WRK-1200,Normal/Others,2026-2027,2800000.0,30,0.677,999352.5,550000.0,1000000.0,2.8,86.04,True,"Sanctioned amount ₹2,800,000 is 2.80× the median ₹999,352 across 30 semantically similar works. Average description similarity: 0.68."
WS/MP18361/2025-2026/219016,ND-WRK-1932,Normal/Others,2025-2026,2800000.0,30,0.675,1000000.0,995972.25,1566348.75,2.8,86.0,True,"Sanctioned amount ₹2,800,000 is 2.80× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.68."
WS/MP673/2025-2026/145399,ND-WRK-2171,Normal/Others,2025-2026,299674.0,8,0.674,109000.0,99000.0,120250.0,2.75,84.99,True,"Sanctioned amount ₹299,674 is 2.75× the median ₹109,000 across 8 semantically similar works. Average description similarity: 0.67."
WS/MP18118/2025-2026/252901,ND-WRK-0631,Normal/Others,2025-2026,750000.0,30,0.868,220000.0,220000.0,220000.0,3.41,84.09,True,"Sanctioned amount ₹750,000 is 3.41× the median ₹220,000 across 30 semantically similar works. Average description similarity: 0.87."
WS/MP18118/2025-2026/252900,ND-WRK-0630,Normal/Others,2025-2026,750000.0,30,0.862,220000.0,220000.0,220000.0,3.41,84.09,True,"Sanctioned amount ₹750,000 is 3.41× the median ₹220,000 across 30 semantically similar works. Average description similarity: 0.86."
WS/MP18118/2025-2026/252898,ND-WRK-0628,Normal/Others,2025-2026,750000.0,30,0.867,220000.0,220000.0,220000.0,3.41,84.09,True,"Sanctioned amount ₹750,000 is 3.41× the median ₹220,000 across 30 semantically similar works. Average description similarity: 0.87."
WS/MP18118/2025-2026/252899,ND-WRK-0629,Normal/Others,2025-2026,750000.0,30,0.874,220000.0,220000.0,220000.0,3.41,84.09,True,"Sanctioned amount ₹750,000 is 3.41× the median ₹220,000 across 30 semantically similar works. Average description similarity: 0.87."
WS/MP18118/2025-2026/252902,ND-WRK-0632,Normal/Others,2025-2026,750000.0,30,0.858,220000.0,220000.0,220000.0,3.41,84.09,True,"Sanctioned amount ₹750,000 is 3.41× the median ₹220,000 across 30 semantically similar works. Average description similarity: 0.86."
WS/MP18308/2025-2026/244704,ND-WRK-1860,Normal/Others,2025-2026,2000000.0,27,0.621,600000.0,300000.0,1000000.0,3.33,83.33,True,"Sanctioned amount ₹2,000,000 is 3.33× the median ₹600,000 across 27 semantically similar works. Average description similarity: 0.62."
WS/MP692/2025-2026/183629,ND-WRK-2401,Normal/Others,2025-2026,1000000.0,30,0.637,300000.0,220000.0,600000.0,3.33,83.33,True,"Sanctioned amount ₹1,000,000 is 3.33× the median ₹300,000 across 30 semantically similar works. Average description similarity: 0.64."
WS/MP18116/2026-2027/220968,ND-WRK-0507,Normal/Others,2026-2027,1000000.0,15,0.687,300000.0,294114.5,1000000.0,3.33,83.33,True,"Sanctioned amount ₹1,000,000 is 3.33× the median ₹300,000 across 15 semantically similar works. Average description similarity: 0.69."
WS/MP18113/2025-2026/176732,ND-WRK-0294,Normal/Others,2025-2026,1991442.0,30,0.731,750000.0,624952.25,999750.0,2.66,83.11,True,"Sanctioned amount ₹1,991,442 is 2.66× the median ₹750,000 across 30 semantically similar works. Average description similarity: 0.73."
WS/MP18120/2026-2027/169231,ND-WRK-0761,Normal/Others,2026-2027,1771411.0,30,0.769,698843.5,496524.5,995597.0,2.53,80.7,True,"Sanctioned amount ₹1,771,411 is 2.53× the median ₹698,844 across 30 semantically similar works. Average description similarity: 0.77."
WS/MP18136/2026-2027/190037,ND-WRK-1680,Normal/Others,2026-2027,2500000.0,30,0.695,994352.5,541541.75,1000000.0,2.51,80.28,True,"Sanctioned amount ₹2,500,000 is 2.51× the median ₹994,352 across 30 semantically similar works. Average description similarity: 0.70."
WS/MP18117/2025-2026/168713,ND-WRK-0541,Normal/Others,2025-2026,1000000.0,10,0.676,331000.0,331000.0,331000.0,3.02,80.21,True,"Sanctioned amount ₹1,000,000 is 3.02× the median ₹331,000 across 10 semantically similar works. Average description similarity: 0.68."
WS/MP18117/2025-2026/168715,ND-WRK-0542,Normal/Others,2025-2026,1000000.0,9,0.666,331000.0,331000.0,986000.0,3.02,80.21,True,"Sanctioned amount ₹1,000,000 is 3.02× the median ₹331,000 across 9 semantically similar works. Average description similarity: 0.67."
WS/MP672/2026-2027/215133,ND-WRK-2156,Normal/Others,2026-2027,2500000.0,30,0.637,999309.0,500000.0,1000000.0,2.5,80.03,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹999,309 across 30 semantically similar works. Average description similarity: 0.64."
WS/MP672/2026-2027/215132,ND-WRK-2155,Normal/Others,2026-2027,2500000.0,30,0.604,999490.0,512500.0,1000000.0,2.5,80.03,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹999,490 across 30 semantically similar works. Average description similarity: 0.60."
WS/MP672/2026-2027/215131,ND-WRK-2154,Normal/Others,2026-2027,2500000.0,30,0.661,999490.0,512500.0,1000000.0,2.5,80.03,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹999,490 across 30 semantically similar works. Average description similarity: 0.66."
WS/MP687/2025-2026/182081,ND-WRK-2336,Normal/Others,2025-2026,2500000.0,30,0.77,999542.0,994180.0,1000000.0,2.5,80.02,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹999,542 across 30 semantically similar works. Average description similarity: 0.77."
WS/MP18258/2025-2026/159947,ND-WRK-1701,Normal/Others,2025-2026,2500000.0,7,0.573,999686.0,496000.0,1000000.0,2.5,80.02,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹999,686 across 7 semantically similar works. Average description similarity: 0.57."
WS/MP18307/2025-2026/230960,ND-WRK-1811,Normal/Others,2025-2026,2500000.0,30,0.787,1000000.0,1000000.0,1445980.0,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.79."
WS/MP18308/2025-2026/145422,ND-WRK-1840,Normal/Others,2025-2026,2500000.0,30,0.822,1000000.0,995256.0,1000000.0,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.82."
WS/MP18116/2026-2027/232150,ND-WRK-0513,Normal/Others,2026-2027,2500000.0,10,0.588,1000000.0,1000000.0,1230525.0,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 10 semantically similar works. Average description similarity: 0.59."
WS/MP18308/2025-2026/145411,ND-WRK-1835,Repair and Renovation,2025-2026,1500000.0,6,0.705,500000.0,500000.0,1625000.0,3.0,80.0,True,"Sanctioned amount ₹1,500,000 is 3.00× the median ₹500,000 across 6 semantically similar works. Average description similarity: 0.70."
WS/MP18307/2025-2026/230965,ND-WRK-1813,Normal/Others,2025-2026,2500000.0,30,0.687,1000000.0,1000000.0,1431059.5,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.69."
WS/MP18131/2026-2027/276434,ND-WRK-1342,Normal/Others,2026-2027,2500000.0,30,0.714,1000000.0,724932.0,1000000.0,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.71."
WS/MP687/2025-2026/243695,ND-WRK-2367,Normal/Others,2025-2026,2500000.0,30,0.777,1000000.0,988843.0,1500000.0,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.78."
WS/MP687/2026-2027/268169,ND-WRK-2380,Normal/Others,2026-2027,2500000.0,30,0.761,1000000.0,625000.0,1000000.0,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.76."
WS/MP681/2025-2026/251044,ND-WRK-2272,Normal/Others,2025-2026,2500000.0,30,0.703,1000000.0,986744.25,1499125.0,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.70."
WS/MP687/2024-2025/181205,ND-WRK-2333,Normal/Others,2024-2025,2500000.0,20,0.648,1000000.0,999768.0,1500000.0,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 20 semantically similar works. Average description similarity: 0.65."
WS/MP664/2026-2027/291153,ND-WRK-2128,Normal/Others,2026-2027,2500000.0,30,0.785,1000000.0,700000.0,1000000.0,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.79."
WS/MP672/2026-2027/247099,ND-WRK-2161,Normal/Others,2026-2027,2500000.0,30,0.778,1000000.0,700000.0,1000000.0,2.5,80.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.78."
WS/MP687/2025-2026/182569,ND-WRK-2350,Normal/Others,2025-2026,2493418.0,30,0.766,1000000.0,998423.5,1499500.0,2.49,79.87,True,"Sanctioned amount ₹2,493,418 is 2.49× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.77."
WS/MP18113/2025-2026/166722,ND-WRK-0293,Normal/Others,2025-2026,2482574.0,30,0.625,1000000.0,998584.0,1500000.0,2.48,79.65,True,"Sanctioned amount ₹2,482,574 is 2.48× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.62."
WS/MP18361/2025-2026/219017,ND-WRK-1933,Normal/Others,2025-2026,4000000.0,30,0.595,1373406.5,921262.0,2675000.0,2.91,78.25,True,"Sanctioned amount ₹4,000,000 is 2.91× the median ₹1,373,406 across 30 semantically similar works. Average description similarity: 0.60."
WS/MP18307/2025-2026/262448,ND-WRK-1827,Normal/Others,2025-2026,2300000.0,26,0.58,1000000.0,999648.75,1500000.0,2.3,76.0,True,"Sanctioned amount ₹2,300,000 is 2.30× the median ₹1,000,000 across 26 semantically similar works. Average description similarity: 0.58."
WS/MP18361/2025-2026/226177,ND-WRK-1950,Normal/Others,2025-2026,3500000.0,30,0.637,1250000.0,999250.0,2000000.0,2.8,76.0,True,"Sanctioned amount ₹3,500,000 is 2.80× the median ₹1,250,000 across 30 semantically similar works. Average description similarity: 0.64."
WS/MP18116/2026-2027/230996,ND-WRK-0511,Normal/Others,2026-2027,1500000.0,24,0.618,550000.0,300000.0,1000000.0,2.73,74.55,True,"Sanctioned amount ₹1,500,000 is 2.73× the median ₹550,000 across 24 semantically similar works. Average description similarity: 0.62."
WS/MP18308/2025-2026/244715,ND-WRK-1867,Normal/Others,2025-2026,3000000.0,22,0.629,1100000.0,847250.0,2000000.0,2.73,74.55,True,"Sanctioned amount ₹3,000,000 is 2.73× the median ₹1,100,000 across 22 semantically similar works. Average description similarity: 0.63."
WS/MP18110/2026-2027/242058,ND-WRK-0023,Normal/Others,2026-2027,2500000.0,30,0.777,1200000.0,1000000.0,1500000.0,2.08,71.67,True,"Sanctioned amount ₹2,500,000 is 2.08× the median ₹1,200,000 across 30 semantically similar works. Average description similarity: 0.78."
WS/MP18307/2025-2026/262453,ND-WRK-1828,Normal/Others,2025-2026,3000000.0,30,0.65,1175000.0,992022.5,1900000.0,2.55,71.06,True,"Sanctioned amount ₹3,000,000 is 2.55× the median ₹1,175,000 across 30 semantically similar works. Average description similarity: 0.65."
WS/MP18113/2025-2026/176734,ND-WRK-0295,Normal/Others,2025-2026,1999000.0,30,0.673,989862.5,500000.0,999750.0,2.02,70.39,True,"Sanctioned amount ₹1,999,000 is 2.02× the median ₹989,862 across 30 semantically similar works. Average description similarity: 0.67."
WS/MP18117/2025-2026/248758,ND-WRK-0552,Normal/Others,2025-2026,2000000.0,30,0.76,994246.5,700000.0,1000000.0,2.01,70.23,True,"Sanctioned amount ₹2,000,000 is 2.01× the median ₹994,246 across 30 semantically similar works. Average description similarity: 0.76."
WS/MP672/2026-2027/215081,ND-WRK-2152,Normal/Others,2026-2027,2000000.0,30,0.804,996335.0,700000.0,1000000.0,2.01,70.15,True,"Sanctioned amount ₹2,000,000 is 2.01× the median ₹996,335 across 30 semantically similar works. Average description similarity: 0.80."
WS/MP18258/2026-2027/183826,ND-WRK-1714,Normal/Others,2026-2027,2000000.0,30,0.779,998000.0,699773.25,1000000.0,2.0,70.08,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹998,000 across 30 semantically similar works. Average description similarity: 0.78."
WS/MP672/2026-2027/215119,ND-WRK-2153,Normal/Others,2026-2027,2000000.0,30,0.787,998500.0,700000.0,1000000.0,2.0,70.06,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹998,500 across 30 semantically similar works. Average description similarity: 0.79."
WS/MP18131/2025-2026/206358,ND-WRK-1302,Normal/Others,2025-2026,2000000.0,30,0.603,999000.0,712500.0,1000000.0,2.0,70.04,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹999,000 across 30 semantically similar works. Average description similarity: 0.60."
WS/MP691/2025-2026/237152,ND-WRK-2391,Normal/Others,2025-2026,2000000.0,30,0.611,999000.0,500000.0,1000000.0,2.0,70.04,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹999,000 across 30 semantically similar works. Average description similarity: 0.61."
WS/MP687/2025-2026/243701,ND-WRK-2368,Normal/Others,2025-2026,2000000.0,30,0.816,999542.0,994180.0,1000000.0,2.0,70.02,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹999,542 across 30 semantically similar works. Average description similarity: 0.82."
WS/MP18113/2026-2027/244708,ND-WRK-0327,Normal/Others,2026-2027,2000000.0,30,0.696,999518.0,699457.5,1000000.0,2.0,70.02,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹999,518 across 30 semantically similar works. Average description similarity: 0.70."
WS/MP18308/2025-2026/145418,ND-WRK-1837,Normal/Others,2025-2026,2000000.0,30,0.685,999746.0,971196.75,1000000.0,2.0,70.01,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹999,746 across 30 semantically similar works. Average description similarity: 0.68."
WS/MP18112/2025-2026/177510,ND-WRK-0184,Normal/Others,2025-2026,2000000.0,30,0.778,1000000.0,999770.5,1200000.0,2.0,70.0,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.78."
WS/MP18116/2026-2027/229732,ND-WRK-0510,Normal/Others,2026-2027,1000000.0,16,0.668,400000.0,295145.25,1000000.0,2.5,70.0,True,"Sanctioned amount ₹1,000,000 is 2.50× the median ₹400,000 across 16 semantically similar works. Average description similarity: 0.67."
WS/MP18308/2025-2026/145420,ND-WRK-1839,Normal/Others,2025-2026,2000000.0,30,0.741,999979.5,700000.0,1000000.0,2.0,70.0,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹999,980 across 30 semantically similar works. Average description similarity: 0.74."
WS/MP18308/2025-2026/244712,ND-WRK-1864,Normal/Others,2025-2026,2500000.0,30,0.737,1000000.0,990000.0,1800000.0,2.5,70.0,True,"Sanctioned amount ₹2,500,000 is 2.50× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.74."
WS/MP18136/2025-2026/165207,ND-WRK-1648,Normal/Others,2025-2026,2000000.0,30,0.614,1000000.0,981250.0,1263000.0,2.0,70.0,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.61."
WS/MP18308/2025-2026/145414,ND-WRK-1836,Normal/Others,2025-2026,2000000.0,7,0.567,1000000.0,850000.0,1244066.5,2.0,70.0,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹1,000,000 across 7 semantically similar works. Average description similarity: 0.57."
WS/MP18113/2025-2026/194151,ND-WRK-0307,Normal/Others,2025-2026,2000000.0,30,0.759,1000000.0,990793.75,1394059.5,2.0,70.0,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.76."
WS/MP18131/2026-2027/228312,ND-WRK-1329,Normal/Others,2026-2027,2000000.0,11,0.663,1000000.0,872052.0,1000000.0,2.0,70.0,True,"Sanctioned amount ₹2,000,000 is 2.00× the median ₹1,000,000 across 11 semantically similar works. Average description similarity: 0.66."
WS/MP18133/2025-2026/253842,ND-WRK-1495,Normal/Others,2025-2026,1000000.0,30,0.766,500000.0,496266.5,569750.0,2.0,70.0,True,"Sanctioned amount ₹1,000,000 is 2.00× the median ₹500,000 across 30 semantically similar works. Average description similarity: 0.77."
WS/MP18116/2025-2026/241509,ND-WRK-0493,Normal/Others,2025-2026,1000000.0,25,0.573,500000.0,500000.0,697787.0,2.0,70.0,True,"Sanctioned amount ₹1,000,000 is 2.00× the median ₹500,000 across 25 semantically similar works. Average description similarity: 0.57."
