work_id,demo_anonymous_id,work_status,sanctioned_amount_inr,total_paid_inr,payment_count,payment_to_sanction_ratio,project_age_days,days_since_last_payment,payment_progress_score,payment_progress_flag,payment_progress_explanation
WS/MP681/2024-2025/143652,ND-WRK-2232,Vendor Identification,799000.0,793754.0,1,0.993,759.0,520.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 520 days while status is 'Vendor Identification'.
WS/MP681/2024-2025/143651,ND-WRK-2231,Vendor Identification,899000.0,880849.0,1,0.98,759.0,462.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 462 days while status is 'Vendor Identification'.
WS/MP18124/2025-2026/162339,ND-WRK-0869,Vendor Identification,1500000.0,1498861.0,1,0.999,604.0,453.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 453 days while status is 'Vendor Identification'.
WS/MP18122/2024-2025/168730,ND-WRK-0785,Vendor Identification,1000000.0,997186.0,1,0.997,,574.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 574 days while status is 'Vendor Identification'.
WS/MP18122/2024-2025/181792,ND-WRK-0794,Vendor Identification,1000000.0,997136.0,1,0.997,,514.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 514 days while status is 'Vendor Identification'.
WS/MP681/2024-2025/144067,ND-WRK-2251,Vendor Identification,500000.0,494879.0,1,0.99,434.0,301.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 301 days.
WS/MP18124/2025-2026/165781,ND-WRK-0888,Vendor Identification,1000000.0,999240.0,1,0.999,609.0,336.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 336 days.
WS/MP18124/2025-2026/165786,ND-WRK-0890,Vendor Identification,1000000.0,999241.0,1,0.999,604.0,300.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 300 days.
WS/MP18116/2026-2027/220975,ND-WRK-0508,Vendor Identification,1000000.0,997448.0,1,0.997,66.0,213.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 213 days.
WS/MP681/2025-2026/144068,ND-WRK-2263,Vendor Identification,700000.0,696704.0,1,0.995,,301.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 301 days.
WS/MP681/2024-2025/144041,ND-WRK-2250,Vendor Identification,1000000.0,990568.0,1,0.991,556.0,217.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 217 days.
WS/MP681/2024-2025/144040,ND-WRK-2249,Vendor Identification,700000.0,696205.0,1,0.995,434.0,218.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 218 days.
WS/MP18112/2025-2026/177326,ND-WRK-0179,Vendor Identification,1000000.0,999338.0,1,0.999,457.0,185.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 185 days.
WS/MP18124/2025-2026/165779,ND-WRK-0887,Vendor Identification,1000000.0,999240.0,1,0.999,609.0,336.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 336 days.
WS/MP18124/2025-2026/162417,ND-WRK-0882,Vendor Identification,1000000.0,998245.0,1,0.998,,270.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 270 days.
WS/MP18124/2025-2026/161241,ND-WRK-0864,Vendor Identification,2500000.0,2497109.0,1,0.999,609.0,336.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 336 days.
WS/MP18124/2025-2026/162319,ND-WRK-0866,Vendor Identification,2000000.0,1997685.0,1,0.999,609.0,336.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 336 days.
WS/MP18124/2025-2026/162373,ND-WRK-0876,Vendor Identification,2500000.0,2498101.0,1,0.999,609.0,305.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 305 days.
WS/MP18112/2025-2026/233410,ND-WRK-0252,Vendor Identification,1000000.0,990844.0,1,0.991,98.0,185.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 185 days.
WS/MP18112/2025-2026/233414,ND-WRK-0255,Vendor Identification,1000000.0,966044.0,1,0.966,,184.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 184 days.
WS/MP18124/2025-2026/162349,ND-WRK-0871,Vendor Identification,2500000.0,2497109.0,1,0.999,609.0,336.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 336 days.
WS/MP18122/2025-2026/181765,ND-WRK-0814,Vendor Identification,1000000.0,991254.0,1,0.991,,301.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 301 days.
WS/MP18122/2024-2025/186311,ND-WRK-0797,Vendor Identification,1500000.0,1487715.0,1,0.992,,213.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 213 days.
WS/MP18122/2025-2026/168731,ND-WRK-0800,Vendor Identification,1000000.0,988035.0,1,0.988,332.0,332.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 332 days.
WS/MP18124/2025-2026/162323,ND-WRK-0867,Vendor Identification,2000000.0,1998083.0,1,0.999,609.0,336.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 336 days.
WS/MP18122/2026-2027/246015,ND-WRK-0824,Vendor Identification,700000.0,692232.0,1,0.989,185.0,185.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 185 days.
WS/MP18128/2026-2027/211848,ND-WRK-1237,Vendor Identification,999000.0,928874.0,1,0.93,216.0,213.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 213 days.
WS/MP18112/2026-2027/252259,ND-WRK-0287,Vendor Identification,600000.0,595584.0,1,0.993,,211.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 211 days.
WS/MP681/2024-2025/143647,ND-WRK-2227,Vendor Identification,799000.0,791961.0,1,0.991,759.0,276.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 276 days.
WS/MP18118/2025-2026/160490,ND-WRK-0571,Vendor Identification,1000000.0,1000000.0,2,1.0,,271.0,60,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 271 days.
WS/MP687/2025-2026/182068,ND-WRK-2334,Vendor Identification,2500000.0,1200000.0,1,0.48,,430.0,55,True,At least 25% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 430 days while status is 'Vendor Identification'.
WS/MP18118/2025-2026/159252,ND-WRK-0570,Vendor Identification,1000000.0,614451.0,1,0.614,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18116/2025-2026/221636,ND-WRK-0458,Vendor Identification,1498635.0,1474069.0,1,0.984,218.0,96.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18116/2025-2026/235830,ND-WRK-0483,Vendor Identification,500000.0,483483.0,1,0.967,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18128/2026-2027/231485,ND-WRK-1247,Vendor Identification,500000.0,483185.0,1,0.966,66.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18118/2025-2026/188302,ND-WRK-0588,Vendor Identification,998000.0,998000.0,1,1.0,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/162328,ND-WRK-0868,Vendor Identification,2500000.0,2496860.0,1,0.999,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18128/2026-2027/231489,ND-WRK-1249,Vendor Identification,500000.0,494553.0,1,0.989,66.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18128/2026-2027/235609,ND-WRK-1250,Vendor Identification,1000000.0,993381.0,1,0.993,216.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18128/2026-2027/238452,ND-WRK-1251,Vendor Identification,750000.0,631070.0,1,0.841,96.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18128/2026-2027/238454,ND-WRK-1252,Vendor Identification,500000.0,427061.0,1,0.854,96.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/226197,ND-WRK-0918,Vendor Identification,800000.0,799392.0,1,0.999,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18116/2026-2027/230996,ND-WRK-0511,Vendor Identification,1500000.0,1481986.0,1,0.988,4.0,4.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18127/2025-2026/253711,ND-WRK-1194,Vendor Identification,980000.0,978000.0,1,0.998,-55.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18127/2025-2026/188394,ND-WRK-1179,Vendor Identification,986000.0,986000.0,1,1.0,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18127/2025-2026/253702,ND-WRK-1188,Vendor Identification,999000.0,997000.0,1,0.998,-55.0,-29.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18112/2026-2027/259061,ND-WRK-0288,Vendor Identification,1000000.0,975465.0,1,0.975,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18128/2026-2027/220027,ND-WRK-1246,Vendor Identification,1000000.0,987716.0,1,0.988,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP681/2024-2025/143658,ND-WRK-2236,Vendor Identification,1000000.0,991116.0,1,0.991,759.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP681/2024-2025/143655,ND-WRK-2234,Vendor Identification,999000.0,985348.0,1,0.986,759.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18118/2025-2026/160504,ND-WRK-0573,Vendor Identification,1000000.0,556000.0,1,0.556,,96.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP681/2024-2025/143646,ND-WRK-2226,Vendor Identification,799000.0,797176.0,1,0.998,759.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2025-2026/186337,ND-WRK-0816,Vendor Identification,1000000.0,939770.0,1,0.94,219.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2026-2027/168812,ND-WRK-0822,Vendor Identification,1000000.0,973654.0,1,0.974,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/186322,ND-WRK-0798,Vendor Identification,500000.0,497013.0,1,0.994,,-30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/168729,ND-WRK-0784,Vendor Identification,1000000.0,996088.0,1,0.996,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/168753,ND-WRK-0786,Vendor Identification,1000000.0,984633.0,1,0.985,,66.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/168762,ND-WRK-0787,Vendor Identification,1000000.0,996860.0,1,0.997,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/181771,ND-WRK-0788,Vendor Identification,1000000.0,992989.0,1,0.993,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/181774,ND-WRK-0789,Vendor Identification,1000000.0,995101.0,1,0.995,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2026-2027/246058,ND-WRK-0825,Vendor Identification,500000.0,495234.0,1,0.99,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/181777,ND-WRK-0790,Vendor Identification,1000000.0,995883.0,1,0.996,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197902,ND-WRK-2012,Vendor Identification,2500000.0,2498104.0,1,0.999,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197901,ND-WRK-2011,Vendor Identification,4000000.0,3993959.0,1,0.998,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197886,ND-WRK-2010,Vendor Identification,3000000.0,2982884.0,1,0.994,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/181790,ND-WRK-0793,Vendor Identification,1000000.0,991657.0,1,0.992,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/181787,ND-WRK-0792,Vendor Identification,1000000.0,995470.0,1,0.995,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18128/2026-2027/231487,ND-WRK-1248,Vendor Identification,500000.0,496216.0,1,0.992,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18114/2025-2026/157545,ND-WRK-0345,Vendor Identification,1000000.0,999600.0,1,1.0,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18114/2025-2026/157606,ND-WRK-0346,Vendor Identification,1000000.0,993784.0,1,0.994,6.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/162371,ND-WRK-0875,Vendor Identification,2500000.0,2497854.0,1,0.999,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/162376,ND-WRK-0877,Vendor Identification,1000000.0,999240.0,1,0.999,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/162401,ND-WRK-0878,Vendor Identification,1000000.0,999240.0,1,0.999,274.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197866,ND-WRK-2005,Vendor Identification,2500000.0,2498104.0,1,0.999,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/162402,ND-WRK-0879,Vendor Identification,1000000.0,999240.0,1,0.999,274.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/162403,ND-WRK-0880,Vendor Identification,1000000.0,999240.0,1,0.999,274.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/162416,ND-WRK-0881,Vendor Identification,1000000.0,998245.0,1,0.998,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18118/2025-2026/252915,ND-WRK-0634,Vendor Identification,1000000.0,998000.0,1,0.998,-55.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18118/2025-2026/252894,ND-WRK-0624,Vendor Identification,700000.0,698000.0,1,0.997,-85.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/184151,ND-WRK-0796,Vendor Identification,1000000.0,979149.0,1,0.979,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18122/2024-2025/181794,ND-WRK-0795,Vendor Identification,1000000.0,989553.0,1,0.99,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18116/2025-2026/186710,ND-WRK-0421,Vendor Identification,1000000.0,987471.0,1,0.987,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP681/2024-2025/143654,ND-WRK-2233,Vendor Identification,999000.0,991457.0,1,0.992,759.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18118/2025-2026/188316,ND-WRK-0599,Vendor Identification,998000.0,998000.0,1,1.0,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP664/2026-2027/146585,ND-WRK-2126,Vendor Identification,1500000.0,1497667.0,1,0.998,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/165749,ND-WRK-0883,Vendor Identification,1000000.0,998245.0,1,0.998,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/165767,ND-WRK-0884,Vendor Identification,1000000.0,999240.0,1,0.999,274.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/165771,ND-WRK-0885,Vendor Identification,1000000.0,999240.0,1,0.999,274.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18114/2026-2027/157612,ND-WRK-0358,Vendor Identification,700000.0,699600.0,1,0.999,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP664/2026-2027/146582,ND-WRK-2123,Vendor Identification,2000000.0,1996493.0,1,0.998,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP664/2026-2027/146583,ND-WRK-2124,Vendor Identification,2500000.0,2495616.0,1,0.998,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP664/2026-2027/146584,ND-WRK-2125,Vendor Identification,2000000.0,1996890.0,1,0.998,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/161223,ND-WRK-0863,Vendor Identification,2500000.0,2498104.0,1,0.999,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18114/2026-2027/157625,ND-WRK-0359,Vendor Identification,1000000.0,998215.0,1,0.998,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18124/2025-2026/162301,ND-WRK-0865,Vendor Identification,1500000.0,1498862.0,1,0.999,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197865,ND-WRK-2004,Vendor Identification,2000000.0,1998482.0,1,0.999,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197862,ND-WRK-2003,Vendor Identification,2500000.0,2498104.0,1,0.999,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197861,ND-WRK-2002,Vendor Identification,2000000.0,1998482.0,1,0.999,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197851,ND-WRK-2000,Vendor Identification,4000000.0,3993959.0,1,0.998,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197848,ND-WRK-1999,Vendor Identification,2500000.0,2498104.0,1,0.999,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18308/2025-2026/145433,ND-WRK-1848,Vendor Identification,1500000.0,1498862.0,1,0.999,457.0,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18308/2025-2026/244680,ND-WRK-1853,Vendor Identification,5000000.0,4971782.0,1,0.994,,66.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197903,ND-WRK-2013,Vendor Identification,3000000.0,2995469.0,1,0.998,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/226526,ND-WRK-2015,Vendor Identification,1600000.0,1598785.0,1,0.999,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/226529,ND-WRK-2016,Vendor Identification,1800000.0,1798634.0,1,0.999,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18327/2026-2027/282558,ND-WRK-1925,Vendor Identification,999633.0,999633.0,1,1.0,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18361/2025-2026/226175,ND-WRK-1948,Vendor Identification,1600000.0,1559790.0,1,0.975,,4.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18327/2026-2027/246151,ND-WRK-1922,Vendor Identification,999845.0,997159.0,1,0.997,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18327/2026-2027/246159,ND-WRK-1924,Vendor Identification,999845.0,996817.0,1,0.997,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18111/2026-2027/269014,ND-WRK-0125,Vendor Identification,300000.0,294791.0,2,0.983,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18111/2026-2027/269017,ND-WRK-0126,Vendor Identification,1000000.0,987461.0,2,0.987,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18111/2026-2027/269023,ND-WRK-0127,Vendor Identification,1000000.0,987685.0,2,0.988,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197880,ND-WRK-2006,Vendor Identification,2500000.0,2498104.0,1,0.999,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197881,ND-WRK-2007,Vendor Identification,2000000.0,1998482.0,1,0.999,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197882,ND-WRK-2008,Vendor Identification,4000000.0,3993959.0,1,0.998,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/197883,ND-WRK-2009,Vendor Identification,2500000.0,2498103.0,1,0.999,,30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18111/2026-2027/276689,ND-WRK-0145,Vendor Identification,1000000.0,972751.0,1,0.973,,-30.0,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
WS/MP18376/2026-2027/226530,ND-WRK-2017,Vendor Identification,1900000.0,1897047.0,1,0.998,,,45,False,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'.
